backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,year
/7C921eWK06n12c1miRXnYoEu5Yv.jpg,"[12, 28, 14]",166426,en,Pirates of the Caribbean: Dead Men Tell No Tales,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",95.268,/qwoGfcg6YUS55nUweKGujHE54Wy.jpg,2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,False,6.653,11672,2017
/zqLSQ40LY30ClFk6uw9IEcoPAny.jpg,"[27, 9648, 53]",298250,en,Jigsaw,"Law enforcement finds itself chasing the ghost of a man dead for over a decade, embroiled in a diabolical new game that's only just begun.",92.571,/swSFDqNIZwT4M9AQn5zQSXuZfTw.jpg,2017-10-25,Jigsaw,False,6.2,3555,2017
/zJDMuXQDraHjtF53wikmyBQIcYe.jpg,"[12, 35, 14]",353486,en,Jumanji: Welcome to the Jungle,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!",91.468,/pSgXKPU5h6U89ipF7HBYajvYt7j.jpg,2017-12-09,Jumanji: Welcome to the Jungle,False,6.824,13311,2017
/4QLdZ2A8mkDWp2rpfgDrwmeCtUW.jpg,"[28, 12, 80]",47971,en,xXx: Return of Xander Cage,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",90.025,/hba8zREJpP1AYhaXgb2oJLQeO0K.jpg,2017-01-13,xXx: Return of Xander Cage,False,6.13,8728,2017
/9dWH18IZf0KdGx0kJaONzWcmD69.jpg,"[18, 10749]",341174,en,Fifty Shades Darker,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",87.188,/7CBO9GhsUeMSsWQb47WTPZnKjdj.jpg,2017-02-08,Fifty Shades Darker,False,6.5,7488,2017
/eVHVwP71el20fofkCHo78ebQv7Q.jpg,"[28, 12, 35]",343668,en,Kingsman: The Golden Circle,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",87.054,/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,2017-09-20,Kingsman: The Golden Circle,False,6.966,10052,2017
/1ycTOys6bzvt0XPnzSv8qYfrD0V.jpg,"[12, 18, 878]",387426,en,Okja,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.",86.608,/pHlRr2MfjK77VIIAO7p0R4jhsJI.jpg,2017-06-28,Okja,False,7.367,4156,2017
/eoMushgujydxFplE9yPZ54lwOvo.jpg,"[16, 28, 35, 10751]",324849,en,The Lego Batman Movie,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",84.963,/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,2017-02-08,The Lego Batman Movie,False,7.22,4850,2017
/jzdnhRhG0dsuYorwvSqPqqnM1cV.jpg,"[28, 80, 53]",337339,en,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",81.436,/dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg,2017-04-12,The Fate of the Furious,False,6.9,10066,2017
/m3tdSyl11fhgXPDSEt3aBctTqGP.jpg,"[10751, 14, 10749]",321612,en,Beauty and the Beast,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,79.95,/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,2017-03-16,Beauty and the Beast,False,6.967,15224,2017
/pDKFL1zcHzEpmz4MJA5JJnRbJeD.jpg,"[27, 53, 18]",405774,en,Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",328.215,/rGfGfgL2pEPCfhIvqHXieXFn7gp.jpg,2018-12-13,Bird Box,False,6.842,9665,2018
/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,"[28, 12, 14]",297802,en,Aquaman,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",266.937,/zdw7Wf97vsQ0YnGomxDqfcEdUjX.jpg,2018-12-07,Aquaman,False,6.895,13759,2018
